_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,length_str,_ - registered_address 2 2,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Status information,_ - all_attributes - additional_data - Note:,_ - previous_names - _ - company_name,_ - subsequent_registrations - _ - data_type,_ - subsequent_registrations - _ - confidence,_ - subsequent_registrations - _ - source_url,_ - subsequent_registrations - _ - start_date,_ - subsequent_registrations - _ - retrieved_at,_ - subsequent_registrations - _ - start_date_type,_ - subsequent_registrations - _ - publication_date,_ - subsequent_registrations - _ - subsequent_registration_start_date,_ - subsequent_registrations - _ - previous_entity - entity_type,_ - subsequent_registrations - _ - previous_entity - entity_properties - company_number,_ - subsequent_registrations - _ - previous_entity - entity_properties - jurisdiction_code,_ - subsequent_registrations - _ - subsequent_entity - entity_type,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - company_number,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - jurisdiction_code,_ - alternate_registrations - _ - data_type,_ - alternate_registrations - _ - confidence,_ - alternate_registrations - _ - source_url,_ - alternate_registrations - _ - start_date,_ - alternate_registrations - _ - sample_date,_ - alternate_registrations - _ - retrieved_at,_ - alternate_registrations - _ - start_date_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - company_number,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - jurisdiction_code
TRANSCAP Transport Capital (Europe) GmbH,54566,2019-01-31T06:10:06Z,K1101R_HRB139259,de/K1101R_HRB139259,currently registered,de,"Regus Center Spitalerhof, Kurze Mühren 1, 20095 Hamburg.",Regus Center Spitalerhof,Kurze,5,"Mühren 1, 20095 Hamburg.",Henrik Ulf Haeder,person,Geschäftsführer,2015-12-04,,Haeder,Henrik Ulf,Tornesch,sole representation,,,,,Hamburg,HRB,Hamburg,139259,Hamburg HRB 139259,Hamburg,,,true,true,true,false,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Thomas Oliver Faak,person,Geschäftsführer,2019-01-24,,Faak,Thomas Oliver,Hamburg,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansa Sinometal GmbH,54615,2017-07-21T23:24:15Z,K1101R_HRB139356,de/K1101R_HRB139356,currently registered,de,"Doormannsweg 22, I.OG, Nr. 8, 20259 Hamburg.",Doormannsweg 22,"I.OG,",5,"Nr. 8, 20259 Hamburg.",,,,,,,,,,,,,,Hamburg,HRB,Hamburg,139356,Hamburg HRB 139356,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolumbus Beteiligungsgesellschaft mbH,55378,2017-07-23T05:14:14Z,K1101R_HRB143821,de/K1101R_HRB143821,currently registered,de,"Brandstwiete 1, Neuer Dovenhof, 20457 Hamburg.",Brandstwiete 1,Neuer,5,"Dovenhof, 20457 Hamburg.",Katharina Lilienthal,person,Geschäftsführer,2016-11-15,,Lilienthal,Katharina,Hamburg,,,,,,Hamburg,HRB,Hamburg,143821,Hamburg HRB 143821,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projektgesellschaft Wittestraße 32 GmbH,59620,2017-06-14T15:25:29Z,F1103R_HRB153491,de/F1103R_HRB153491,currently registered,de,"Westhafenstraße 1, Halle 11 a, 13353 Berlin",Westhafenstraße 1,Halle,5,"11 a, 13353 Berlin",Manuela Königsfeld,person,Prokurist,2013-10-21,2014-07-21,Königsfeld,Manuela,Berlin,,true,1,,,Berlin (Charlottenburg),HRB,Berlin,153491,Berlin (Charlottenburg) HRB 153491,Berlin,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Thomas Dunkel,person,Geschäftsführer,2013-10-21,2014-07-21,Dunkel,Thomas,Berlin,,true,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Jens-Nikolaus Janßen,person,Geschäftsführer,2013-10-21,,Janßen,Jens-Nikolaus,Berlin,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Michael Lüken,person,Geschäftsführer,2013-10-21,,Lüken,Michael,München,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort 8 GmbH,59730,2017-07-04T14:16:58Z,K1101R_HRB125164,de/K1101R_HRB125164,currently registered,de,"Essener Straße 4, Valvo Park, Gebäude D3, 22419 Hamburg.",Essener Straße 4,Valvo,5,"Park, Gebäude D3, 22419 Hamburg.",Adelheid Fischer-Klages,person,Geschäftsführer,,2013-04-09,Fischer-Klages,Adelheid,Wohltorf,,true,,,,Hamburg,HRB,Hamburg,125164,Hamburg HRB 125164,Hamburg,,,true,true,true,false,true,true,true,,,,PENGETANK 323. Vermögensverwaltungsgesellschaft mbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Vakhtang Begashvili,person,Geschäftsführer,,2016-12-29,Begashvili,Vakhtang,München,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Adelheid Fischer-Klages,person,Geschäftsführer,2012-11-13,,Fischer-Klages,Adelheid,Wohltorf,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Andreas Thomas,person,Geschäftsführer,2013-04-09,,Thomas,Andreas,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Andreas Thomas,person,Geschäftsführer,2015-10-07,,Thomas,Andreas,Hamburg,vertretungsberechtigt gemäß allgemeiner Vertretungsregelung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Vakhtang Begashvili,person,Geschäftsführer,2015-10-07,,Begashvili,Vakhtang,München,vertretungsberechtigt gemäß allgemeiner Vertretungsregelung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Alley Investment GmbH,60232,2018-11-01T21:59:20Z,F1103R_HRB153545,de/F1103R_HRB153545,currently registered,de,"Oudenarder Straße 16/Gebäude A, 3.OG, 13347 Berlin Gegenstand: Die Gründung, Erwerb, Förderung von - sowie Beteiligung an - Unternehmen im In- und Ausland.",Oudenarder Straße 16/Gebäude A,"3.OG,",5,"13347 Berlin Gegenstand: Die Gründung, Erwerb, Förderung von - sowie Beteiligung an - Unternehmen im In- und Ausland.",Jan Patrick Schulz,person,Geschäftsführer,2013-10-22,,Schulz,Jan Patrick,Wiesbaden Rechtsform: Gesellschaft mit beschränkter Haftung,,,2,,,Berlin (Charlottenburg),HRB,Berlin,153545,Berlin (Charlottenburg) HRB 153545,Berlin,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Jan Patrick Schulz,person,Geschäftsführer,2014-05-06,,Schulz,Jan Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Udo Knopf,person,Geschäftsführer,2013-10-22,,Knopf,Udo,Idstein-Walsdorf,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Udo Knopf,person,Geschäftsführer,2014-05-06,,Knopf,Udo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOZIALSTATION AKTIV FÜR SIE Gesellschaft mit beschränkter Haftung,60269,2017-06-14T16:49:14Z,F1103R_HRB153592,de/F1103R_HRB153592,currently registered,de,"c/o Christian Szlapka, Orber Straße 20, 14193 Berlin",c/o Christian Szlapka,Orber,5,"Straße 20, 14193 Berlin",Marlies Jahn,person,Geschäftsführer,2013-10-23,2015-01-23,Jahn,Marlies,Berlin,,true,1,,,Berlin (Charlottenburg),HRB,Berlin,153592,Berlin (Charlottenburg) HRB 153592,Berlin,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Christian Szlapka,person,Geschäftsführer,2015-01-23,,Szlapka,Christian,Berlin,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Losmann GmbH,60756,2018-11-01T22:04:55Z,F1103R_HRB153903,de/F1103R_HRB153903,currently registered,de,"Herzbergstraße 128-139, Halle 6-601, 10365 Berlin",Herzbergstraße 128-139,Halle,5,"6-601, 10365 Berlin",David Eisel-Eiselsberg,person,Geschäftsführer,2013-11-07,2014-10-08,Eisel-Eiselsberg,David,Berlin,,true,1,,,Berlin (Charlottenburg),HRB,Berlin,153903,Berlin (Charlottenburg) HRB 153903,Berlin,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Bing Scheffel,person,Prokurist,2015-03-30,2018-07-16,Scheffel,Bing,Berlin,,true,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Xunzhe Zhang,person,Geschäftsführer,2018-07-16,,Zhang,Xunzhe,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Xunzhe Zhang,person,Geschäftsführer,2014-10-08,,Zhang,Xunzhe,Jiangxi/VR China,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimi Universalbau GmbH,61849,2017-06-15T09:01:30Z,F1103R_HRB154576,de/F1103R_HRB154576,currently registered,de,"Siegfriedstraße 60, Halle 3, 10365 Berlin",Siegfriedstraße 60,Halle,5,"3, 10365 Berlin",Bilal Karimi,person,Geschäftsführer,2013-12-04,2014-06-26,Karimi,Bilal,Schönefeld,,true,1,,,Berlin (Charlottenburg),HRB,Berlin,154576,Berlin (Charlottenburg) HRB 154576,Berlin,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Zbigniew Dolski,person,Geschäftsführer,2014-06-26,2015-10-27,Dolski,Zbigniew,Poznan,Polen,true,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Robert Eugeniusz Balcerek,person,Geschäftsführer,2015-10-27,,Balcerek,Robert Eugeniusz,Poznan/Polen,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilal Trading UG (haftungsbeschränkt),62957,2017-06-15T21:19:49Z,F1103R_HRB154987,de/F1103R_HRB154987,currently registered,de,"Herzbergstraße 128, Halle 6, Room 635, 10365 Berlin",Herzbergstraße 128,Halle,5,"6, Room 635, 10365 Berlin",Bilal Afzal,person,Geschäftsführer,2013-12-19,,Afzal,Bilal,Galliate/Italien,,,1,,,Berlin (Charlottenburg),HRB,Berlin,154987,Berlin (Charlottenburg) HRB 154987,Berlin,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schorr Immobilien Verwaltungsgesellschaft mbH,63178,2017-06-15T23:39:39Z,F1103R_HRB104911,de/F1103R_HRB104911,currently registered,de,"Europa-Center, 19.OG Süd",Europa-Center,19.OG,5,Süd,Thomas Stephan,person,Geschäftsführer,,2007-06-25,Stephan,Thomas,,,true,1,,,Berlin (Charlottenburg),HRB,Berlin,104911,Berlin (Charlottenburg) HRB 104911,Berlin,,,true,true,true,false,true,true,true,,,,Aragon 32. VV GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Rainer Schorr,person,Geschäftsführer,2007-06-25,,Schorr,Rainer,Berlin,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amüsierkombinat gmbh,63645,2017-06-16T04:51:09Z,F1103R_HRB105268,de/F1103R_HRB105268,currently registered,de,"Volkmarstraße 1-7, Halle 12 a, 12099 Berlin",Volkmarstraße 1-7,Halle,5,"12 a, 12099 Berlin",Stephan Ritter,person,Geschäftsführer,2006-12-14,,Ritter,Stephan,Berlin,,,,,,Berlin (Charlottenburg),HRB,Berlin,105268,Berlin (Charlottenburg) HRB 105268,Berlin,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howoll Bürovermietung GmbH,64076,2017-06-16T16:06:50Z,F1103R_HRB155558,de/F1103R_HRB155558,currently registered,de,"c/o Steuerberater Andreas Hagist, Emser Straße 9, 10719 Berlin",c/o Steuerberater Andreas Hagist,Emser,5,"Straße 9, 10719 Berlin",Charlie Hagist,person,Geschäftsführer,2014-01-20,,Hagist,Charlie,Dallgow-Döberitz,,,1,,,Berlin (Charlottenburg),HRB,Berlin,155558,Berlin (Charlottenburg) HRB 155558,Berlin,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GME Energy Generation GmbH,64281,2017-06-17T01:07:00Z,F1103R_HRB155913,de/F1103R_HRB155913,currently registered,de,"Römischer Hof, Unter den Linden 10, 10117 Berlin",Römischer Hof,Unter,5,"den Linden 10, 10117 Berlin",Cornelia Wendt,person,Geschäftsführer,2014-01-30,2014-03-21,Wendt,Cornelia,Berlin,,true,1,,,Berlin (Charlottenburg),HRB,Berlin,155913,Berlin (Charlottenburg) HRB 155913,Berlin,,,true,true,false,false,true,true,true,,,,aptus 883. GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Raimund Förster,person,Geschäftsführer,2014-03-21,,Förster,Raimund,Monaco/Frankreich,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novera Energy GP GmbH,65826,2018-07-27T12:03:01Z,F1103R_HRB96046,de/F1103R_HRB96046,removed,de,"c/o Hammonds LLP, Unter den Linden 14, 10117 Berlin Nicht mehr Geschäftsführer:3) Fitzsimmons, David Stephen",c/o Hammonds LLP,Unter,5,"den Linden 14, 10117 Berlin Nicht mehr Geschäftsführer:3) Fitzsimmons, David Stephen",David Muir Miller,person,Geschäftsführer,,2007-08-08,Miller,David Muir,,,true,2,,,Berlin (Charlottenburg),HRB,Berlin,96046,Berlin (Charlottenburg) HRB 96046,Berlin,,,false,true,true,false,false,true,true,,,,NMRE GP GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,David Stephen Fitzsimmons,person,Geschäftsführer,2007-08-08,2010-03-04,Fitzsimmons,David Stephen,Kent,England,true,3,,,,,,,,,,,,,,,,,,,,,aptus 81. GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,John Francis Hewson,person,Geschäftsführer,2010-03-04,2010-12-23,Hewson,John Francis,Barley/Hertfordshire / Großbritannien,,true,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Richard Calvin Round,person,Geschäftsführer,2010-03-04,,Round,Richard Calvin,Leighton Buzzard / Großbritannien,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Steven Neville Hardman,person,Geschäftsführer,2010-12-23,,Hardman,Steven Neville,Rugby OT Dunchurch,Großbritannien,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Steven Neville Hardman,person,Liquidator,2010-12-23,,Hardman,Steven Neville,Rugby OT Dunchurch,Großbritannien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novera Energy LP 1 GmbH,65830,2017-06-18T07:43:49Z,F1103R_HRB96045,de/F1103R_HRB96045,removed,de,"c/o Hammonds LLP, Unter den Linden 14, 10117 Berlin Nicht mehr Geschäftsführer:3) Fitzsimmons, David Stephen",c/o Hammonds LLP,Unter,5,"den Linden 14, 10117 Berlin Nicht mehr Geschäftsführer:3) Fitzsimmons, David Stephen",David Muir Miller,person,Geschäftsführer,,2007-08-20,Miller,David Muir,,,true,2,,,Berlin (Charlottenburg),HRB,Berlin,96045,Berlin (Charlottenburg) HRB 96045,Berlin,,,false,false,false,false,false,false,false,true,true,,NMRE LP 1 GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,David Stephen Fitzsimmons,person,Geschäftsführer,2007-08-20,2010-03-03,Fitzsimmons,David Stephen,Kent/England,,true,3,,,,,,,,,,,,,,,,,,,,,aptus 80. GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,John Francis Hewson,person,Geschäftsführer,2010-03-03,2010-12-23,Hewson,John Francis,Barley/Hertfordshire / Großbritannien,,true,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Richard Calvin Round,person,Geschäftsführer,2010-03-03,,Round,Richard Calvin,Leighton Buzzard / Großbritannien,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Steven Neville Hardman,person,Geschäftsführer,2010-12-23,,Hardman,Steven Neville,Rugby,OT Dunchurch Großbritannien,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Steven Neville Hardman,person,Liquidator,2010-12-23,,Hardman,Steven Neville,Rugby,OT Dunchurch Großbritannien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cab Line GmbH,66895,2017-06-19T00:14:35Z,F1103R_HRB156950,de/F1103R_HRB156950,currently registered,de,"Altonaer Straße 78, Halle Nr. 9, 13581 Berlin",Altonaer Straße 78,Halle,5,"Nr. 9, 13581 Berlin",Serap Özdemir,person,Geschäftsführer,2014-03-11,,Özdemir,Serap,Berlin,,,1,,,Berlin (Charlottenburg),HRB,Berlin,156950,Berlin (Charlottenburg) HRB 156950,Berlin,,,false,false,false,false,false,false,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehmann und Thomas Immobilien GmbH,68199,2018-11-07T07:40:19Z,F1103R_HRB59341,de/F1103R_HRB59341,currently registered,de,"c/o Philipp Noffke, Unter den Linden 21, 10117 Berlin Geschäftsführer:4) Noffke, Philipp, *20.05.1975, Berlin",c/o Philipp Noffke,Unter,5,"den Linden 21, 10117 Berlin Geschäftsführer:4) Noffke, Philipp, *20.05.1975, Berlin",Philipp Noffke,person,Geschäftsführer,,2011-03-18,Noffke,Philipp,,,true,1,,,Berlin (Charlottenburg),HRB,Berlin,59341,Berlin (Charlottenburg) HRB 59341,Berlin,,,true,true,true,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Philipp Noffke,person,Geschäftsführer,2012-07-17,2018-10-29,Noffke,Philipp,Berlin,,true,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Reinhold Schröder,person,Geschäftsführer,2011-03-18,,Schröder,Reinhold,Berlin,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpc-ingenieure UG (haftungsbeschränkt),68248,2017-06-20T00:00:35Z,F1103R_HRB157535,de/F1103R_HRB157535,currently registered,de,"Sachsendamm 93, Ambeg Höfe, Aufgang A 1.",Sachsendamm 93,Ambeg,5,"Höfe, Aufgang A 1.",Dieter Haubensak,person,Geschäftsführer,2014-04-02,,Haubensak,Dieter,Berlin,,,2,,,Berlin (Charlottenburg),HRB,Berlin,157535,Berlin (Charlottenburg) HRB 157535,Berlin,,,true,true,false,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Dirk Haubensak,person,Geschäftsführer,2014-04-02,,Haubensak,Dirk,Berlin,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
