_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,city,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Note:,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - previous_names - _ - company_name,_ - subsequent_registrations - _ - data_type,_ - subsequent_registrations - _ - confidence,_ - subsequent_registrations - _ - source_url,_ - subsequent_registrations - _ - start_date,_ - subsequent_registrations - _ - retrieved_at,_ - subsequent_registrations - _ - start_date_type,_ - subsequent_registrations - _ - publication_date,_ - subsequent_registrations - _ - subsequent_registration_start_date,_ - subsequent_registrations - _ - previous_entity - entity_type,_ - subsequent_registrations - _ - previous_entity - entity_properties - company_number,_ - subsequent_registrations - _ - previous_entity - entity_properties - jurisdiction_code,_ - subsequent_registrations - _ - subsequent_entity - entity_type,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - company_number,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - jurisdiction_code,_ - alternate_registrations - _ - data_type,_ - alternate_registrations - _ - confidence,_ - alternate_registrations - _ - source_url,_ - alternate_registrations - _ - start_date,_ - alternate_registrations - _ - sample_date,_ - alternate_registrations - _ - retrieved_at,_ - alternate_registrations - _ - start_date_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - company_number,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - jurisdiction_code
Webcar GmbH & Co. KG,2513851,2018-06-23T05:33:19Z,D4401V_HRA4130,de/D4401V_HRA4130,removed,de,Michael-Och-Str.,Michael-Och-Str.,,,Coburg,HRA,Bavaria,4130,Coburg HRA 4130,Lichtenfels,,,false,true,true,true,false,true,true,,,Marcel Mittler,person,Persönlich haftender Gesellschafter,,2006-01-31,Marcel,Mittler,Bayreuth,true,,,,,AutoDo Service GmbH & Co. KG.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AutoDo Service GmbH, Lichtenfels (Amtsgericht Coburg HRB 4078), mit der Befugnis - auch für die jeweiligen Geschäftsführer -, im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2012-04-25,,,,,,,,,,webcar-service oHG,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"webcar Beteiligungs GmbH, Burgkunstadt (Coburg HRB 4078).",company,Persönlich haftender Gesellschafter,2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUDISSA-Getreidehandel und Dienstleistungs-GmbH Baschütz,2513896,2018-06-23T05:34:40Z,U1104_HRB4131,de/U1104_HRB4131,currently registered,de,Hauptstr.,Hauptstr.,,,Dresden,HRB,Saxony,4131,Dresden HRB 4131,Baschütz,,,true,true,true,true,true,true,true,,,Friedrich Hesse,person,Geschäftsführer,,2009-10-09,Friedrich,Hesse,Dubrauke,true,,,Agraringenieur,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Albrecht,person,Prokurist,,2009-10-09,Morten,Albrecht,Malschwitz OT Rackel,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johannes Pietschmann,person,Geschäftsführer,,2016-04-04,Johannes,Pietschmann,Kubschütz,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilona Rabovsky,person,Prokurist,,2016-07-01,Ilona,Rabovsky,Hochkirch OT Pommritz,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Albrecht,person,Geschäftsführer,,2016-07-01,Morten,Albrecht,Malschwitz OT Rackel,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albrecht Morten,person,Geschäftsführer,2009-10-09,,Albrecht,Morten,Malschwitz OT Rackel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilona Rabovsky,person,Geschäftsführer,2009-10-09,,Ilona,Rabovsky,Hochkirch OT Pommritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matthias Friedrich,person,Geschäftsführer,2016-04-04,,Matthias,Friedrich,Bautzen,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Albrecht,person,Geschäftsführer,2013-12-13,,Morten,Albrecht,Malschwitz OT Rackel,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morten Albrecht,person,Prokurist,2009-01-07,,Morten,Albrecht,Malschwitz OT Rackel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabine Birnstengel,person,Prokurist,2017-07-18,,Sabine,Birnstengel,Lichtenberg OT Kleindittmannsdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hessenWind Energieanlagen Gesellschaft mbH & Co. II. KG zur Nutzung von Windenergie,2513943,2018-06-23T05:34:40Z,M1906_HRA4131,de/M1906_HRA4131,currently registered,de,Mainzer Str.,Mainzer Str.,,,Wiesbaden,HRA,Hesse,4131,Wiesbaden HRA 4131,Wiesbaden,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,hessenWind Energieanlagen Gesellschaft mbH & Co. II. KG zur Nutzung vo Windenergie,,,,,,,,,,,,,,,,,,,,,,,,
K&B Holding GmbH,2513959,2018-06-23T05:34:40Z,D4708V_HRB4131,de/D4708V_HRB4131,removed,de,Johannes-Kepler-Str.,Johannes-Kepler-Str.,,,Würzburg,HRB,Bavaria,4131,Würzburg HRB 4131,Würzburg,,,false,true,true,true,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rißmann Dental Wittenberg GmbH & Co. KG,2513993,2018-06-23T05:34:40Z,W1215_HRA4131,de/W1215_HRA4131,currently registered,de,Alte Wittenberger Str.,Alte Wittenberger Str.,,,Stendal,HRA,Saxony-Anhalt,4131,Stendal HRA 4131,Jessen,,,true,true,true,false,true,true,true,,,Hans-Dieter Davisius,person,Prokurist,,2014-05-06,Hans-Dieter,Davisius,Lutherstadt Wittenberg,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rißmann Verwaltungsgesellschaft mbH, Jessen (Elster) (Amtsgericht Stendal HRB 19807).",company,Persönlich haftender Gesellschafter,,2014-11-19,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans-Dieter Davisius,person,Prokurist,2013-11-18,,Hans-Dieter,Davisius,Lutherstadt Wittenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Rißmann,person,Liquidator,2015-05-11,,Jan,Rißmann,Jessen (Elster),,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rißmann Verwaltungsgesellschaft mbH, Jessen (Elster) (Amtsgericht Stendal HRB 19807), einzelvertretungsberechtigt",company,Persönlich haftender Gesellschafter,2013-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rißmann connect GmbH, Jessen (Elster) (Stendal HRB 17047), einzelvertretungsberechtigt",company,Persönlich haftender Gesellschafter,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPE Spedition GmbH & Co. Transport KG,2514056,2018-06-23T05:36:00Z,D2910V_HRA4132,de/D2910V_HRA4132,removed,de,Kufsteiner Str.,Kufsteiner Str.,,,Traunstein,HRA,Bavaria,4132,Traunstein HRA 4132,Reischenhart,,,false,true,true,true,false,true,true,,,Arnaldo Forti,person,Liquidator,2009-02-10,,Arnaldo,Forti,Spre-Povo/Italien,,sole representation,,,,Forti Arnaldo GmbH & Co. Speditions KG (Reischenhart),,,,,,,,,,,,,,,,,,,,,,,,
AVH Arbeitsvermittlung Höhne e. K.,2514066,2018-06-23T05:36:00Z,W1215_HRA4132,de/W1215_HRA4132,removed,de,Rotdornstr.,Rotdornstr.,,,Stendal,HRA,Saxony-Anhalt,4132,Stendal HRA 4132,Coswig (Anhalt),,,false,true,true,false,false,true,true,,,Heiko Höhne,person,Inhaber,2013-09-25,,Heiko,Höhne,OT Jeber-Bergfrieden,,,,Coswig (Anhalt),,,,,,,,,,,,,,,,,,,,,,,,,,
Bach & Bardens Fahrzeugtechnik GmbH,2514069,2018-06-23T05:36:00Z,D3201V_HRB4132,de/D3201V_HRB4132,removed,de,Sommerauer Str.,Sommerauer Str.,,,Ansbach,HRB,Bavaria,4132,Ansbach HRB 4132,Feuchtwangen,,,false,true,true,false,false,true,true,,,Gerhard : Bach,person,Liquidator,2008-11-25,,Gerhard,: Bach,Feuchtwangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerhard Bach,person,Geschäftsführer,2006-05-02,,Gerhard,Bach,Schnelldorf-Unterampfrach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengel GmbH,2514076,2018-06-23T05:36:00Z,T2210V_HRB4132,de/T2210V_HRB4132,removed,de,Viktoriastr.,Viktoriastr.,,,Koblenz,HRB,Rhineland-Palatinate,4132,Koblenz HRB 4132,Koblenz,,,false,true,true,true,false,true,true,,,Andreas Bengel,person,Liquidator,2010-11-16,,Andreas,Bengel,Bendorf,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Bengel,person,Geschäftsführer,2007-04-04,,Andreas,Bengel,Bendorf,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Bengel,person,Geschäftsführer,2010-11-16,,Andreas,Bengel,Bendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horst Toriedt Vertriebs GmbH,2514121,2018-06-23T05:36:00Z,R1504_HRB4132,de/R1504_HRB4132,removed,de,Diltheystr.,Diltheystr.,,,Mönchengladbach,HRB,North Rhine-Westphalia,4132,Mönchengladbach HRB 4132,Mönchengladbach,,,false,true,true,true,false,true,true,,,Horst Toriedt,person,Liquidator,2013-03-05,,Horst,Toriedt,Mönchengladbach,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID+MA DATA GmbH & Co. KG,2514127,2018-06-23T05:36:00Z,R2507_HRA4132,de/R2507_HRA4132,removed,de,Straßburger Str.,Straßburger Str.,,,Gelsenkirchen,HRA,North Rhine-Westphalia,4132,Gelsenkirchen HRA 4132,Gladbeck,,,false,true,true,false,false,true,true,,,"ID+MA Verwaltungs-GmbH, Gladbeck (Gelsenkirchen HRB 7705).",company,Persönlich haftender Gesellschafter,2007-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicole Kotulla,person,Liquidator,2010-11-17,,Nicole,Kotulla,Gladbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mvb plants worldwide Marktverband Bremen GmbH,2514161,2018-06-23T05:36:00Z,H1101_H1101_HRB4132,de/H1101_H1101_HRB4132,currently registered,de,Paul-Feller-Str.,Paul-Feller-Str.,,,Bremen,HRB,Bremen,4132,Bremen früher Bremen HRB 4132,Bremen,Bremen,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,Marktverband für Azaleen und Eriken GmbH,,,,,,,,,,,,,,,,,,,,,,,,
Schell Immobilien + Verwaltung GmbH,2514187,2018-06-23T05:36:00Z,M1906_HRB4132,de/M1906_HRB4132,currently registered,de,Mozartstr.,Mozartstr.,,,Wiesbaden,HRB,Hesse,4132,Wiesbaden HRB 4132,Wiesbaden,,,true,true,true,true,true,true,true,,,Martina Schell,person,Geschäftsführer,,2014-05-16,Martina,Schell,Wiesbaden,true,,,Kauffrau der Grundstücks- und Wohnungswirtschaft,,J. Chr. Glücklich Immobilien Gesellschaft mit beschränkter Haftung,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scheidt Immobilien + Verwaltung GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scheidt Immobilien-Verwaltung Gesellschaft mit beschränkter Haftung,,,,,,,,,,,,,,,,,,,,,,,,
TB Invest GmbH & Co. KG,2514202,2018-06-23T05:36:00Z,D3201V_HRA4132,de/D3201V_HRA4132,currently registered,de,Wilhelmstr.,Wilhelmstr.,,,Ansbach,HRA,Bavaria,4132,Ansbach HRA 4132,Merkendorf,,,true,true,true,false,true,true,true,,,"JT Verwaltung GmbH, Merkendorf (Amtsgericht Ansbach HRB 6408).",company,Persönlich haftender Gesellschafter,2016-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antje Lohoff-Haase e.Kfr.,2514242,2018-06-23T05:37:26Z,W1215_HRA4133,de/W1215_HRA4133,currently registered,de,Bahnhofstr.,Bahnhofstr.,,,Stendal,HRA,Saxony-Anhalt,4133,Stendal HRA 4133,Stendal,,,true,true,true,false,true,true,true,,,Antje Lohoff-Haase,person,Inhaber,2013-09-25,,Antje,Lohoff-Haase,Gardelegen OT Jävenitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr.-Ing. Ulrich Esterer Beteiligungsgesellschaft mbH,2514283,2018-06-23T05:37:26Z,M1607_HRB4133,de/M1607_HRB4133,currently registered,de,Bahnhofstr.,Bahnhofstr.,,,Kassel,HRB,Hesse,4133,Kassel HRB 4133,Helsa,,,true,true,true,true,true,true,true,,,Harold Esterer,person,Geschäftsführer,2010-04-14,,Harold,Esterer,Kassel,,sole representation,,,,FAN Fahrzeugaufbauten und Anlagen GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julia Esterer,person,Geschäftsführer,2009-11-17,,Julia,Esterer,Kassel,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graser Verwaltungsgesellschaft mbH,2514305,2018-06-23T05:37:26Z,D3508V_HRB4133,de/D3508V_HRB4133,currently registered,de,Alte Eschenbacher Str.,Alte Eschenbacher Str.,,,Weiden i. d. OPf.,HRB,Bavaria,4133,Weiden i. d. OPf. HRB 4133,Pressath,,,true,true,true,false,true,true,true,,,Alexander Rudolf Graser,person,Geschäftsführer,2012-12-19,,Alexander Rudolf,Graser,Pressath,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuhmode Riekehof GmbH,2514383,2018-06-23T05:37:26Z,R2307_HRB4133,de/R2307_HRB4133,currently registered,de,Bergstr.,Bergstr.,,,Lemgo,HRB,North Rhine-Westphalia,4133,Lemgo HRB 4133,Lage,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC Beratungs- + Verwaltungs-GmbH,2514388,2018-06-23T05:37:26Z,R2103_HRB4133,de/R2103_HRB4133,currently registered,de,Roonstr.,Roonstr.,,,Gütersloh,HRB,North Rhine-Westphalia,4133,Gütersloh HRB 4133,Gütersloh,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,B e r a t e r F o r u m G ü t e r s l o h Beratungs- + Dienstleistungs - GmbH,,,,,,,,,,,,,,,,,,,,,,,,
Ahlers Textilhandel GmbH & Co. KG,2514430,2018-06-23T05:38:45Z,R2108_HRA4134,de/R2108_HRA4134,currently registered,de,Elverdisser Str.,Elverdisser Str.,,,Bad Oeynhausen,HRA,North Rhine-Westphalia,4134,Bad Oeynhausen HRA 4134,Herford,,,true,true,true,true,true,true,true,,,Oliver Galling,person,Prokurist,,2008-06-30,Oliver,Galling,Herford,true,,,,,Ahlers Textilhandel K.G.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karl Friedrich Sunderbrink,person,Prokurist,,2010-02-17,Karl Friedrich,Sunderbrink,Bad Oeynhausen,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruno Leder,person,Prokurist,,2015-06-26,Bruno,Leder,Auetal-Rolfshagen,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentfelder Beton- und Fertigteilbau Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,2514449,2018-06-23T05:38:45Z,R2809_HRA4134,de/R2809_HRA4134,currently registered,de,Bentfelder Str.,Bentfelder Str.,,,Paderborn,HRA,North Rhine-Westphalia,4134,Paderborn HRA 4134,Bentfeld,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deffner Elektro - Elektronik GmbH,2514463,2018-06-23T05:38:45Z,D3310V_HRB4134,de/D3310V_HRB4134,currently registered,de,Ostendstr.,Ostendstr.,,,Nürnberg,HRB,Bavaria,4134,Nürnberg HRB 4134,Nürnberg,,,true,true,true,true,true,true,true,,,Dietrich Deffner,person,Geschäftsführer,,2017-01-03,Dietrich,Deffner,Nürnberg,true,,,Radio- und Fernsehtechniker,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liana geborene Fell Vidovic,person,Geschäftsführer,2017-01-03,,Liana geborene Fell,Vidovic,Nürnberg,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalbaß Versicherungsmakler GmbH,2514521,2018-06-23T05:38:45Z,U1104_HRB4134,de/U1104_HRB4134,currently registered,de,Horkaer Str.,Horkaer Str.,,,Dresden,HRB,Saxony,4134,Dresden HRB 4134,Niesky,,,true,true,true,true,true,true,true,,,Kerstin Kalbaß,person,Geschäftsführer,2013-03-01,,Kerstin,Kalbaß,Düren,,sole representation,,,,Kalbaß Versicherungsmakler GmbH (Niesky),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinhardt & Kalbaß Versicherungsmakler GmbH (Niesky),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinhardt & Kalbaß Versicherungsmakler GmbH,,,,,,,,,,,,,,,,,,,,,,,,
Marktmobil Gastronomietechnik Inh. Hüseyin Göksu e.K.,2514537,2018-06-23T05:38:45Z,D4401V_HRA4134,de/D4401V_HRA4134,currently registered,de,Bahnhofstr.,Bahnhofstr.,,,Coburg,HRA,Bavaria,4134,Coburg HRA 4134,Itzgrund,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,MARKTMOBILE Verkaufsfahrzeuge für alle Branchen Hüseyin Göksu e.K.,,,,,,,,,,,,,,,,,,,,,,,,
Steckhan & Peters Logistik GmbH,2514578,2018-06-23T05:38:45Z,X1112R_HRB4134FL,de/X1112R_HRB4134FL,currently registered,de,Husumer Str.,Husumer Str.,,,Flensburg,HRB,Schleswig-Holstein,4134,Flensburg HRB 4134 FL,Flensburg,,FL,true,true,true,true,true,true,true,,,Jörg Blohme,person,Prokurist,,2011-12-16,Jörg,Blohme,,true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMU Net e.K.,2514600,2018-06-23T05:38:45Z,H1101_H1102_HRA4134,de/H1101_H1102_HRA4134,currently registered,de,Stresemannstr.,Stresemannstr.,,,Bremen,HRA,Bremen,4134,Bremen früher Bremerhaven HRA 4134,Bremerhaven,Bremerhaven,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diezinger Besitz GmbH & Co.KG,2514663,2018-06-23T05:40:07Z,D3201V_HRA4135,de/D3201V_HRA4135,currently registered,de,Färbereistr.,Färbereistr.,,,Ansbach,HRA,Bavaria,4135,Ansbach HRA 4135,Leutershausen,,,true,true,true,false,true,true,true,,,"Diezinger Management GmbH, Leutershausen (Amtsgericht Ansbach HRB 6413), mit der Befugnis - auch für die jeweiligen Geschäftsführer -, im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2016-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB Möbelhandel + Montage GmbH & Co. KG,2514737,2018-06-23T05:40:07Z,D4102V_HRA4135,de/D4102V_HRA4135,currently registered,de,Gutenbergstr.,Gutenbergstr.,,,Aschaffenburg,HRA,Bavaria,4135,Aschaffenburg HRA 4135,Kleinheubach,,,true,true,true,false,true,true,true,,,Hasan Uzun,person,Prokurist,,2011-08-16,Hasan,Uzun,Bad Nauheim,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaus-Erhard Klotz,person,Prokurist,,2015-07-02,Klaus-Erhard,Klotz,Wörth am Main,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Bauer,person,Prokurist,2017-08-17,,Christopher,Bauer,Bürgstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hasan Uzun,person,Prokurist,2008-10-17,,Hasan,Uzun,Bad Nauheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaus-Erhard Klotz,person,Prokurist,2012-10-23,,Klaus-Erhard,Klotz,Wörth am Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MB-Verwaltungs GmbH, Kleinheubach (Amtsgericht Aschaffenburg HRB 9003), mit der Befugnis - auch für die jeweiligen Geschäftsführer -, im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schütz Möbelhaus & Service GmbH,2514763,2018-06-23T05:40:07Z,D4401V_HRB4135,de/D4401V_HRB4135,currently registered,de,Hauptstr.,Hauptstr.,,,Coburg,HRB,Bavaria,4135,Coburg HRB 4135,Marktzeuln,,,true,true,true,false,true,true,true,,,Christian Schütz,person,Geschäftsführer,2006-05-30,,Christian,Schütz,Lichtenfels,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelipal Zentralverwaltung Gesellschaft mit beschränkter Haftung,2514925,2018-06-23T05:41:25Z,R2307_HRB4136,de/R2307_HRB4136,currently registered,de,Hans-Wilhelm-Peters-Str.,Hans-Wilhelm-Peters-Str.,,,Lemgo,HRB,North Rhine-Westphalia,4136,Lemgo HRB 4136,Schlangen,,,true,true,true,true,true,true,true,,,Ingeborg Kelle,person,Prokurist,,2011-12-21,Ingeborg,Kelle,Schlangen,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jochen Conrad Doctor Peters,person,Geschäftsführer,2015-12-17,,Jochen Conrad,Doctor Peters,Bad Lippspringe,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jochen Conrad Doctor Peters,person,Geschäftsführer,2015-09-04,,Jochen Conrad,Doctor Peters,Bad Lippspringe,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petra Winsel,person,Prokurist,2011-12-21,,Petra,Winsel,Bad Driburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schumacher Reisen GmbH & Co. KG,2514944,2018-06-23T05:41:25Z,R3201_HRA4136,de/R3201_HRA4136,removed,de,Hommelsheimstr.,Hommelsheimstr.,,,Bonn,HRA,North Rhine-Westphalia,4136,Bonn HRA 4136,Bonn,,,false,true,true,true,false,true,true,,,Gisela Schumacher,person,Liquidator,2011-04-27,,Gisela,Schumacher,Rheinbach,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Schumacher,person,Liquidator,2010-03-29,,Michael,Schumacher,Rheinbach,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espey Immobilien GmbH & Co. KG,2515026,2018-06-23T05:42:49Z,R1304_HRA4137,de/R1304_HRA4137,currently registered,de,Prinzenstr.,Prinzenstr.,,,Kleve,HRA,North Rhine-Westphalia,4137,Kleve HRA 4137,Kamp-Lintfort,,,true,true,true,false,true,true,true,,,"Espey Immobilien Verwaltungs GmbH, Kamp-Lintfort (Amtsgericht Kleve HRB 12482), mit der Befugnis -auch für jeden Geschäftsführer-, im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2013-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
