_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,city,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Note:,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - previous_names - _ - company_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Herms,person,Prokurist,,2008-01-15,Frank,Herms,Hanau,true,,,,,
Wolter GmbH & Co. KG,2324959,2018-06-22T07:54:06Z,M1502_HRA3206,de/M1502_HRA3206,currently registered,de,Theodor-Heuss-Str.,Theodor-Heuss-Str.,,,Hanau,HRA,Hesse,3206,Hanau HRA 3206,Hanau,,,true,true,true,true,true,true,true,,,Helmut Wolter,person,Persönlich haftender Gesellschafter,,2008-01-25,Helmut,Wolter,Hanau,true,,,,,Alred Wolter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. & A. Wolter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolter Bürotechnik KG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolter KG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolter Komaianditgesellschat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolter Kommanditgesellschaft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woter Bürotechnik GmbH & Co. KG
Ferienpark Zarrenthin GmbH & Co. KG,2325018,2018-06-22T07:55:27Z,G1103_HRA3207,de/G1103_HRA3207,removed,de,Mittelstr.,Mittelstr.,,,Cottbus,HRA,Brandenburg,3207,Cottbus HRA 3207,Fredersdorf-Vogelsdorf,,,false,true,false,false,false,true,true,,,"TK2 Administration GmbH, Schönefeld (Amtsgericht Cottbus, HRB 12832 CB)",company,Persönlich haftender Gesellschafter,2016-12-23,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ue administration GmbH,company,Persönlich haftender Gesellschafter,2016-12-23,,,,,,,1,,,
Fiege International Verwaltungs GmbH,2325019,2018-06-22T07:55:27Z,R2706_HRB3207,de/R2706_HRB3207,currently registered,de,Joan-Joseph-Fiege-Str.,Joan-Joseph-Fiege-Str.,,,Steinfurt,HRB,North Rhine-Westphalia,3207,Steinfurt HRB 3207,Greven,,,true,true,true,true,true,true,true,,,Heinz Gräber,person,Geschäftsführer,,2006-10-24,Heinz,Gräber,Greven,true,,,,,Fiege Beteiligungen Verwaltungs GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manfred Schnor,person,Geschäftsführer,,2008-06-26,Manfred,Schnor,Münster,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Küppers,person,Geschäftsführer,,2009-01-16,Michael,Küppers,Sprendlingen,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carsten Taucke,person,Geschäftsführer,,2010-01-11,Carsten,Taucke,Münster,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Fiege,person,Geschäftsführer,,2011-06-01,Jens,Fiege,Münster,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Müller,person,Geschäftsführer,,2012-10-05,Michael,Müller,Dötlingen,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefano Vincinelli,person,Geschäftsführer,,2014-02-18,Stefano,Vincinelli,Milano / Italien / Italien,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Knopf,person,Geschäftsführer,,2015-08-13,Thomas,Knopf,Basel / Schweiz,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred Messink,person,Prokurist,2008-06-26,,Alfred,Messink,Neuenkirchen,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carsten Taucke,person,Geschäftsführer,2009-01-16,,Carsten,Taucke,Münster,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felix Fiege,person,Geschäftsführer,2012-10-05,,Felix,Fiege,Münster,,mit der Befugnis im Namen der Gesellschaft mit sich als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Küppers,person,Geschäftsführer,2008-06-26,,Michael,Küppers,Sprendlingen,,mit der Befugnis im Namen der Gesellschaft mit sich als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,
Grundbesitz Saaler Mühle GmbH & Co.KG,2325042,2018-06-22T07:55:27Z,M1203_HRA3207,de/M1203_HRA3207,currently registered,de,"Wiesbadener Straße 64, c/o RCN-Verwaltungsgesellschaft mbH, 61462 Königstein im Taunus.",Wiesbadener Straße 64,c/o,"RCN-Verwaltungsgesellschaft mbH, 61462 Königstein im Taunus.",Königstein,HRA,Hesse,3207,Königstein HRA 3207,Königstein im Taunus,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,
Hausdoktor-Umweltdienstleistung Beteiligungsgesellschaft mbH,2325047,2018-06-22T07:55:27Z,H1101_H1102_HRB3207,de/H1101_H1102_HRB3207,currently registered,de,Coloradostr.,Coloradostr.,,,Bremen,HRB,Bremen,3207,Bremen früher Bremerhaven HRB 3207,Bremerhaven,Bremerhaven,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,
R & W GmbH,2325142,2018-06-22T07:55:27Z,P2204_HRB3207,de/P2204_HRB3207,currently registered,de,Ludwig-Prandtl-Str.,Ludwig-Prandtl-Str.,,,Göttingen,HRB,Lower Saxony,3207,Göttingen HRB 3207,Göttingen,,,true,true,true,true,false,true,true,,,Birgit Weidemann,person,Geschäftsführer,,2008-07-22,Birgit,Weidemann,Gleichen,true,,,,,Alphatech Design und Technik GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans-Joachim Raulf,person,Geschäftsführer,,2012-09-07,Hans-Joachim,Raulf,Göttingen,true,,,,,Walpurgismarkt GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans-Joachim Raulf,person,Geschäftsführer,2008-07-22,,Hans-Joachim,Raulf,Göttingen,,sole representation,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sascha Raulf,person,Geschäftsführer,2012-09-07,,Sascha,Raulf,Göttingen,,,,,,
R. Linke Insektenschutzsysteme e.K.,2325144,2018-06-22T07:55:27Z,G1207_HRA3207,de/G1207_HRA3207,currently registered,de,Rudolf-Breitscheid-Str.,Rudolf-Breitscheid-Str.,,,Frankfurt/Oder,HRA,Brandenburg,3207,Frankfurt/Oder HRA 3207,Hoppegarten,,,true,true,true,false,true,true,true,,,Raimund Linke,person,Inhaber,,2015-08-17,Raimund,Linke,,true,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Ladusch,person,Inhaber,2015-08-17,,Christian,Ladusch,Woltersdorf,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raimund Inhaber:1) Linke,person,Inhaber,2014-08-08,,Raimund,Inhaber:1) Linke,Neuenhagen bei Berlin,,,,,,
Bad Doberaner Klosterladen Inh. Christiane Heise e.K.,2325219,2018-06-22T07:56:56Z,N1206V_HRA3208,de/N1206V_HRA3208,currently registered,de,Klosterstr.,Klosterstr.,,,Rostock,HRA,Mecklenburg-Western Pomerania,3208,Rostock HRA 3208,Bad Doberan,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,
Brockardt Beteiligungs-GmbH,2325234,2018-06-22T07:56:56Z,D4401V_HRB3208,de/D4401V_HRB3208,currently registered,de,Coburger Str.,Coburger Str.,,,Coburg,HRB,Bavaria,3208,Coburg HRB 3208,Seßlach,,,true,true,true,true,true,true,true,,,Bernhard Meinke,person,Geschäftsführer,,2015-01-27,Bernhard,Meinke,Coburg,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Güther,person,Geschäftsführer,2015-01-27,,Jens,Güther,Weismain,,sole representation,,,,
"Maric & Sala GmbH, Restaurant Luzia",2325346,2018-06-22T07:56:56Z,M1706_HRB3208,de/M1706_HRB3208,removed,de,Siemensstr.,Siemensstr.,,,Limburg,HRB,Hesse,3208,Limburg HRB 3208,Frankfurt am Main,,,false,true,true,true,false,true,true,,,,,,,,,,,,,,,,
R a s s h o f e r   Marmor + Natursteinwerk e.Kfm.,2325375,2018-06-22T07:56:56Z,D3410V_HRA3208,de/D3410V_HRA3208,currently registered,de,Deuerlinger-Str.,Deuerlinger-Str.,,,Regensburg,HRA,Bavaria,3208,Regensburg HRA 3208,Painten,,,true,true,true,true,true,true,true,,,Wolfgang Raßhofer,person,Inhaber,,2010-01-05,Wolfgang,Raßhofer,Painten,true,,,Industriekaufmann,,Steinbruch Painten Georg Raßhofer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markus Rasshofer,person,Inhaber,2010-01-05,,Markus,Rasshofer,Painten,,,,,,
W. Ruhwinkel GmbH & Co. KG.,2325414,2018-06-22T07:56:56Z,R2706_HRA3208,de/R2706_HRA3208,currently registered,de,Erich-Kästner-Str.,Erich-Kästner-Str.,,,Steinfurt,HRA,North Rhine-Westphalia,3208,Steinfurt HRA 3208,Neuenkirchen,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,Ruhwinkel Holz-Handel GmbH & Co. Kommanditgesellschaft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruwi-med Biologische Arznei- und Lebensmittel GmbH & Co. Kommanditgesellschaft
BESTATTUNG HAAGN Fritz Tiefenthaler-Haagn GmbH & Co KG,2325452,2018-06-22T07:58:15Z,D2910V_HRA3209,de/D2910V_HRA3209,currently registered,de,Bahnhofstr.,Bahnhofstr.,,,Traunstein,HRA,Bavaria,3209,Traunstein HRA 3209,Bad Reichenhall,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,BESTATTUNG HAAGN Fritz Tiefenthaler-Haagn KG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BESTATTUNG HAAGN Inh. Fritz Tiefenthaler-Haagn (Bad Reichenhall)
Ewald Fischbach Dachdeckergeschäft GmbH,2325489,2018-06-22T07:58:15Z,D4401V_HRB3209,de/D4401V_HRB3209,currently registered,de,Lehestener Str.,Lehestener Str.,,,Coburg,HRB,Bavaria,3209,Coburg HRB 3209,Ludwigsstadt,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,
Josef Stiegler GmbH,2325542,2018-06-22T07:58:15Z,D4708V_HRB3209,de/D4708V_HRB3209,removed,de,Neubrunnenstr.,Neubrunnenstr.,,,Würzburg,HRB,Bavaria,3209,Würzburg HRB 3209,Lohr,,,false,true,true,true,false,true,true,,,Josef Stiegler,person,Geschäftsführer,,2005-07-06,Josef,Stiegler,Lohr,true,,,Kaufmann,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elke Stiegler,person,Geschäftsführer,,2008-12-09,Elke,Stiegler,Lohr a.Main,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elke Stiegler,person,Liquidator,2008-12-09,,Elke,Stiegler,Lohr a.Main,,sole representation,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elke Stiegler,person,Geschäftsführer,2005-07-06,,Elke,Stiegler,Lohr,,sole representation,,,,
Kalkwerk Rygol GmbH & Co. KG,2325545,2018-06-22T07:58:15Z,D3410V_HRA3209,de/D3410V_HRA3209,currently registered,de,Deuerlinger Str.,Deuerlinger Str.,,,Regensburg,HRA,Bavaria,3209,Regensburg HRA 3209,Painten,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,Kalkwerk Karl Rygol K.G.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalkwerk Rygol KG
Michael Brandl e.K.,2325575,2018-06-22T07:58:15Z,D3101V_HRA3209,de/D3101V_HRA3209,removed,de,"Kulz, Neunburger Straße 27, 92554 Thanstein.",Kulz,Neunburger,"Straße 27, 92554 Thanstein.",Amberg,HRA,Bavaria,3209,Amberg HRA 3209,Kulz,,,false,true,false,false,false,true,true,,,Michael Brandl,person,Inhaber,2012-07-17,,Michael,Brandl,Thanstein,,,,,,
Orbis Textilgesellschaft mbH & Co. KG,2325584,2018-06-22T07:58:15Z,R2604_HRA3209,de/R2604_HRA3209,currently registered,de,Kruppstr.,Kruppstr.,,,Iserlohn,HRA,North Rhine-Westphalia,3209,Iserlohn HRA 3209,Halver,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,Orbis Textilgesellschaft Nachf. Dr. Werner Linnemann
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orbis Textilgesellschaft mbH & Co.
em3 multi media marketing GmbH,2325707,2018-06-22T07:59:34Z,D4301V_HRB3210,de/D4301V_HRB3210,removed,de,Gutenbergstr.,Gutenbergstr.,,,Bayreuth,HRB,Bavaria,3210,Bayreuth HRB 3210,Neudrossenfeld,,,false,true,true,true,false,true,true,,,Stefan Rösch,person,Geschäftsführer,,2005-03-09,Stefan,Rösch,Bayreuth,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olav : Kollin,person,Liquidator,2009-03-20,,Olav,: Kollin,Bayreuth,,sole representation,,,,
work.on gmbh & Co. industrieservice KG,2325880,2018-06-22T07:59:34Z,D4301V_HRA3210,de/D4301V_HRA3210,removed,de,Zeppelinstr.,Zeppelinstr.,,,Bayreuth,HRA,Bavaria,3210,Bayreuth HRA 3210,Limbach/Oberfrohna,,,false,true,true,true,false,true,true,,,,,,,,,,,,,,,,rent a man gmbh & co. industrieservice KG
HAYU ITC GmbH & Co KG,2325978,2018-06-22T08:00:52Z,M1203_HRA3211,de/M1203_HRA3211,removed,de,Ernst-Moritz-Arndt-Str.,Ernst-Moritz-Arndt-Str.,,,Königstein,HRA,Hesse,3211,Königstein HRA 3211,Kronberg im Taunus,,,false,true,true,false,false,true,true,,,Jürgen Hasenpflug,person,Liquidator,2015-01-16,,Jürgen,Hasenpflug,Düsseldorf,,sole representation,,,,
BKB-Technik GmbH & Co. KG,2326136,2018-06-22T08:02:20Z,D3101V_HRA3212,de/D3101V_HRA3212,currently registered,de,"Kulz, Neunburger Straße 27, 92554 Thanstein.",Kulz,Neunburger,"Straße 27, 92554 Thanstein.",Amberg,HRA,Bavaria,3212,Amberg HRA 3212,Kulz,,,true,true,true,false,true,true,true,,,"BKB-Verwaltungs GmbH, Thanstein (Amtsgericht Amberg HRB 5062), einzelvertretungsberechtigt",company,Persönlich haftender Gesellschafter,2012-07-26,,,,,,,,,,
CCS GmbH,2326145,2018-06-22T08:02:20Z,R1402_HRB3212,de/R1402_HRB3212,currently registered,de,Neue Linner Str.,Neue Linner Str.,,,Krefeld,HRB,North Rhine-Westphalia,3212,Krefeld HRB 3212,Krefeld,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,CCS Call Center Service GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutscha Transport GmbH
Senbert GmbH,2326295,2018-06-22T08:02:20Z,D3410V_HRB3212,de/D3410V_HRB3212,currently registered,de,Böhmerwaldstr.,Böhmerwaldstr.,,,Regensburg,HRB,Bavaria,3212,Regensburg HRB 3212,Bad Kötzting,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,E. Senbert Mode GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Senbert Strickwaren GmbH
DN-Systems Enterprise Internet Solutions GmbH,2326384,2018-06-22T08:03:46Z,P2408_HRB3213,de/P2408_HRB3213,currently registered,de,Hornemannstr.,Hornemannstr.,,,Hildesheim,HRB,Lower Saxony,3213,Hildesheim HRB 3213,Hildesheim,,,true,true,true,true,false,true,true,,,,,,,,,,,,,,,,
ELEKTROTECHNIK WALTHER Ltd. & Co. KG,2326391,2018-06-22T08:03:46Z,W1215_HRA3213,de/W1215_HRA3213,removed,de,Hermann-Danz-Str.,Hermann-Danz-Str.,,,Stendal,HRA,Saxony-Anhalt,3213,Stendal HRA 3213,Hecklingen,,,false,true,true,false,false,true,true,,,England und Wales (companies house of England and Wales No ELEKTROTECHNIK WALTHER Limited,person,Persönlich haftender Gesellschafter,2011-05-18,,England und Wales (companies house of England and Wales No,ELEKTROTECHNIK WALTHER Limited,,,,,,,
Heinrich Niemann KG,2326428,2018-06-22T08:03:46Z,D3310V_HRA3213,de/D3310V_HRA3213,removed,de,Eschenauer Str.,Eschenauer Str.,,,Nürnberg,HRA,Bavaria,3213,Nürnberg HRA 3213,Lauf,,,false,true,true,true,false,true,true,,,Christa geborene Niemann Muffat,person,Persönlich haftender Gesellschafter,,2010-11-22,Christa geborene Niemann,Muffat,Lauf-Kotzenhof,true,,,Journalistenehefrau,,Heinrich Niemann Reise- u. Versandbuchhandlung
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stephan Muffat,person,Persönlich haftender Gesellschafter,2010-11-22,,Stephan,Muffat,Lauf a.d. Pegnitz,,,,,,
Henning Müller Communikationstechnik,2326433,2018-06-22T08:03:46Z,X1721R_HRA3213HL,de/X1721R_HRA3213HL,removed,de,"Hafenstraße, Schuppen 10, 23568 Lübeck.",Hafenstraße,Schuppen,"10, 23568 Lübeck.",Lübeck,HRA,Schleswig-Holstein,3213,Lübeck HRA 3213 HL,Lübeck,,HL,false,true,true,true,false,true,true,,,,,,,,,,,,,,,,
SEAK Systeme GmbH,2326520,2018-06-22T08:03:46Z,N1308V_HRB3213,de/N1308V_HRB3213,removed,de,Putlitzer Str.,Putlitzer Str.,,,Schwerin,HRB,Mecklenburg-Western Pomerania,3213,Schwerin HRB 3213,Parchim,,,false,true,true,true,false,true,true,,,Karl-Heinz : Garbe,person,Liquidator,2011-01-12,,Karl-Heinz,: Garbe,Parchim,,sole representation,,,,
Dr. Baumeier & Liebe UG (haftungsbeschränkt) & Co. KG,2326623,2018-06-22T08:05:15Z,W1215_HRA3214,de/W1215_HRA3214,currently registered,de,Wilhelm-Raabe-Str.,Wilhelm-Raabe-Str.,,,Stendal,HRA,Saxony-Anhalt,3214,Stendal HRA 3214,Wernigerode,,,true,true,true,false,true,true,true,,,"Doctor Baumeier & Liebe Verwaltungs UG (haftungsbeschränkt), Wernigerode (Amtsgericht Stendal HRB 15354), mit der Befugnis, im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2011-05-18,,,,,,,,,,
Lotter-Objekt Möbelwerkstätten GmbH,2326698,2018-06-22T08:05:15Z,D3410V_HRB3214,de/D3410V_HRB3214,currently registered,de,Starenstr.,Starenstr.,,,Regensburg,HRB,Bavaria,3214,Regensburg HRB 3214,Kelheim,,,true,true,true,true,true,true,true,,,Bernhard Lotter,person,Prokurist,,2005-03-22,Bernhard,Lotter,gen,true,,,,,LOTTER OBJEKT Möbelwerkstätten GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferdinand Lotter,person,Geschäftsführer,,2005-03-22,Ferdinand,Lotter,Kelheim,true,,,Schreinermeister,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernhard Martin Lotter,person,Geschäftsführer,2005-03-22,,Bernhard Martin,Lotter,Kelheim,,sole representation,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Günther Gaßner,person,Prokurist,2005-11-15,,Günther,Gaßner,Painten,,,,,,
Ruhl GmbH,2326743,2018-06-22T08:05:15Z,D4708V_HRB3214,de/D4708V_HRB3214,currently registered,de,Ochsenfurter Str.,Ochsenfurter Str.,,,Würzburg,HRB,Bavaria,3214,Würzburg HRB 3214,Marktbreit,,,true,true,true,true,true,true,true,,,Klaus Holl,person,Prokurist,,2006-08-23,Klaus,Holl,Obernbreit,true,,,,,"BSV Betonstahlvertrieb Geschäftsführungs-GmbH, Marktbreit"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Ruhl,person,Geschäftsführer,2015-04-14,,Daniel,Ruhl,Ochsenfurt,,geändert nun: einzelvertretungsberechtigt,,,,Ruhl Betonstahlverarbeitung GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Ruhl,person,Geschäftsführer,2009-01-23,,Daniel,Ruhl,Ochsenfurt,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinrich Ruhl,person,Geschäftsführer,2015-03-13,,Heinrich,Ruhl,gen,,,,,,
"BabyOne, Baby- und Kleinkindfachmarkt GmbH",2326825,2018-06-22T08:06:42Z,R2507_HRB3215,de/R2507_HRB3215,currently registered,de,Wörthstr.,Wörthstr.,,,Gelsenkirchen,HRB,North Rhine-Westphalia,3215,Gelsenkirchen HRB 3215,Gelsenkirchen,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,
Herbert Fröhlich GmbH,2326903,2018-06-22T08:06:42Z,D4201V_HRB3215,de/D4201V_HRB3215,currently registered,de,Schwabachstr.,Schwabachstr.,,,Bamberg,HRB,Bavaria,3215,Bamberg HRB 3215,Dormitz,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,
SIBA Metallverarbeitungs GmbH,2326988,2018-06-22T08:06:42Z,M1710_HRB3215,de/M1710_HRB3215,currently registered,de,Industriestr.,Industriestr.,,,Wetzlar,HRB,Hesse,3215,Wetzlar HRB 3215,Dillenburg-Frohnhausen,,,true,true,true,true,true,true,true,,,David Schmale,person,Geschäftsführer,2017-02-15,,David,Schmale,Dillenburg,,,,,,
"""mjm GmbH""",2327031,2018-06-22T08:08:01Z,R2809_HRB3216,de/R2809_HRB3216,currently registered,de,Nordstr.,Nordstr.,,,Paderborn,HRB,North Rhine-Westphalia,3216,Paderborn HRB 3216,Paderborn,,,true,true,true,true,true,true,true,,,Jan Stehr,person,Geschäftsführer,,2015-08-20,Jan,Stehr,Kassel,true,,,,,Mick Jackson Music GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arjen R Klei,person,Geschäftsführer,2015-08-20,,Arjen R,Klei,Paderborn,,,,,,
"Biogasanlage Dersenow ""Am Schäferstein"" GmbH & Co. KG",2327054,2018-06-22T08:08:01Z,N1308V_HRA3216,de/N1308V_HRA3216,currently registered,de,Dorfstr.,Dorfstr.,,,Schwerin,HRA,Mecklenburg-Western Pomerania,3216,Schwerin HRA 3216,Dersenow,,,true,true,true,false,true,true,true,,,"Biogasanlage Dersenow ""Am Schäferstein"" Verwaltungs GmbH, Dersenow (Amtsgericht Schwerin HRB 10907).",company,Persönlich haftender Gesellschafter,2011-07-28,,,,,,,,,,
CMS Containermietservice GmbH,2327065,2018-06-22T08:08:01Z,P1103_HRB3216,de/P1103_HRB3216,removed,de,Alte Leipziger Str.,Alte Leipziger Str.,,,Braunschweig,HRB,Lower Saxony,3216,Braunschweig HRB 3216,Braunschweig,,,false,true,true,true,false,true,true,,,Ralf Waßmann,person,Geschäftsführer,,2009-12-21,Ralf,Waßmann,Braunschweig,true,,,Kaufmann,,Waßmann Containerdienst GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eckhard Pauli,person,Geschäftsführer,2009-12-21,,Eckhard,Pauli,Braunschweig,,sole representation,,,,
Mittelbayerischer Kartenvorverkauf GmbH,2327176,2018-06-22T08:08:01Z,D3101V_HRB3216,de/D3101V_HRB3216,currently registered,de,Kallmünzer Str.,Kallmünzer Str.,,,Amberg,HRB,Bavaria,3216,Amberg HRB 3216,Burglengenfeld,,,true,true,true,true,true,true,true,,,Renate Reichel,person,Geschäftsführer,,2015-01-07,Renate,Reichel,Burglengenfeld,true,,,,,
"Sonne, Mond und Sterne Verlag GmbH",2327223,2018-06-22T08:08:01Z,X1721R_HRB3216RE,de/X1721R_HRB3216RE,currently registered,de,"c/o Petersen, Elbchaussee 548, 22587 Hamburg.",c/o Petersen,Elbchaussee,"548, 22587 Hamburg.",Lübeck,HRB,Schleswig-Holstein,3216,Lübeck HRB 3216 RE,Oststeinbek,,RE,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,
Andreas Zeiller Vermögensverwaltungs GmbH,2327277,2018-06-22T08:09:44Z,D2910V_HRB3217,de/D2910V_HRB3217,currently registered,de,Siemensstr.,Siemensstr.,,,Traunstein,HRB,Bavaria,3217,Traunstein HRB 3217,Waldkraiburg,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,
Barbarossa Geschäftsführungsgesellschaft mbH,2327287,2018-06-22T08:09:44Z,T3201V_HRB3217,de/T3201V_HRB3217,currently registered,de,Marie-Curie-Str.,Marie-Curie-Str.,,,Kaiserslautern,HRB,Rhineland-Palatinate,3217,Kaiserslautern HRB 3217,Kaiserslautern,,,true,true,true,true,true,true,true,,,Werner Landry,person,Geschäftsführer,,2009-04-14,Werner,Landry,Kaiserslautern,true,,,Kaufmann,,Landry `s Backstube Produktionsgesellschaft mbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landry's Backstube Produktions- und Vertriebsgesellschaft mbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landry's Backstube Produktionsgesellschaft mbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landry`s Backstube Produktions- und Vertriebsgesellschaft mbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landry`s Backstube Produktionsgesellschaft mbH
F + E Formenbau + Entwicklung GmbH,2327334,2018-06-22T08:09:44Z,R3103_HRB3217,de/R3103_HRB3217,currently registered,de,Messerschmittstr.,Messerschmittstr.,,,Düren,HRB,North Rhine-Westphalia,3217,Düren HRB 3217,Kall,,,true,true,true,true,true,true,true,,,Richard Korth,person,Geschäftsführer,2009-01-06,,Richard,Korth,Kall-Keldenich,,,,Werkzeugmachermeister,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Krudwig,person,Geschäftsführer,2009-01-16,,Robert,Krudwig,Nettersheim-Marmagen,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,
Malteser-Klinik Dr. v. Weckbecker gemeinnützige GmbH,2327415,2018-06-22T08:09:44Z,D4608V_HRB3217,de/D4608V_HRB3217,currently registered,de,Rupprechtstr.,Rupprechtstr.,,,Schweinfurt,HRB,Bavaria,3217,Schweinfurt HRB 3217,Bad Brückenau,,,true,true,true,true,true,true,true,,,Roland Roderweis,person,Geschäftsführer,,2006-02-16,Roland,Roderweis,Salzweg,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans-Herbert Müller,person,Geschäftsführer,,2009-07-17,Hans-Herbert,Müller,Köln,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karl Prinz zu Löwenstein,person,Geschäftsführer,,2012-03-15,Karl,Prinz zu Löwenstein,Brüggen,true,,,,,
